PRENEI_MENS,PRELIQ_MENS,PRETOTM_MENS,T_MENS,EVAP_MENS,ETP_MENS,PE_MENS,SWI_MENS,DRAINC_MENS,RUNC_MENS,ECOULEMENT_MENS,ville,Annee,Mois,longitude,latitude,Departement,distance_km
61.6,118.0,179.6,3.0,12.5,14.4,167.1,0.59,10.7,12.0,9.6,Ville 7603,1971,11,5.65,45.25,Isere,10.181604963135706
1.6,4.9,6.5,1.5,1.1,14.4,5.4,0.74,15.2,16.3,36.4,Ville 7603,1971,12,5.65,45.25,Isere,10.181604963135706
44.1,25.3,69.4,1.1,0.8,10.3,68.6,0.77,12.4,7.1,19.1,Ville 7603,1972,1,5.65,45.25,Isere,10.181604963135706
41.3,75.0,116.3,3.7,3.3,12.1,113.0,0.87,35.0,43.8,79.9,Ville 7603,1972,2,5.65,45.25,Isere,10.181604963135706
21.6,52.0,73.6,6.4,22.3,36.9,51.3,0.92,45.5,94.3,133.6,Ville 7603,1972,3,5.65,45.25,Isere,10.181604963135706
0.3,88.4,88.7,8.7,51.9,52.7,36.8,0.88,42.6,11.2,0.4,Ville 7603,1972,4,5.65,45.25,Isere,10.181604963135706
0.0,76.4,76.4,12.6,81.1,83.5,-4.7,0.73,13.2,6.5,0.0,Ville 7603,1972,5,5.65,45.25,Isere,10.181604963135706
0.0,111.6,111.6,15.6,90.8,91.3,20.8,0.69,9.6,9.2,0.0,Ville 7603,1972,6,5.65,45.25,Isere,10.181604963135706
0.0,68.6,68.6,18.4,110.4,118.9,-41.8,0.57,5.1,4.1,0.0,Ville 7603,1972,7,5.65,45.25,Isere,10.181604963135706
0.0,54.0,54.0,17.0,62.0,91.6,-8.0,0.39,2.0,1.7,0.0,Ville 7603,1972,8,5.65,45.25,Isere,10.181604963135706
0.0,57.3,57.3,12.0,56.0,57.2,1.3,0.45,2.1,3.7,0.0,Ville 7603,1972,9,5.65,45.25,Isere,10.181604963135706
0.0,56.4,56.4,9.6,26.3,34.4,30.1,0.4,1.6,3.3,0.0,Ville 7603,1972,10,5.65,45.25,Isere,10.181604963135706
1.2,121.4,122.6,5.8,17.0,15.2,105.6,0.67,17.6,14.4,1.2,Ville 7603,1972,11,5.65,45.25,Isere,10.181604963135706
0.1,44.5,44.6,1.8,5.6,14.7,39.0,0.86,32.7,6.0,0.1,Ville 7603,1972,12,5.65,45.25,Isere,10.181604963135706
46.6,21.8,68.4,0.3,2.9,12.8,65.5,0.82,14.1,9.9,27.0,Ville 7603,1973,1,5.65,45.25,Isere,10.181604963135706
51.7,36.3,88.0,0.3,2.9,15.4,85.1,0.89,21.3,24.0,45.7,Ville 7603,1973,2,5.65,45.25,Isere,10.181604963135706
4.3,16.8,21.1,3.8,16.0,42.0,5.1,0.87,25.5,55.0,65.2,Ville 7603,1973,3,5.65,45.25,Isere,10.181604963135706
27.0,73.6,100.6,6.4,56.1,60.4,44.5,0.85,29.1,11.5,30.0,Ville 7603,1973,4,5.65,45.25,Isere,10.181604963135706
0.0,87.5,87.5,14.2,81.6,78.9,5.9,0.79,18.9,7.9,0.0,Ville 7603,1973,5,5.65,45.25,Isere,10.181604963135706
0.0,107.8,107.8,17.3,105.7,104.5,2.1,0.71,12.2,9.4,0.0,Ville 7603,1973,6,5.65,45.25,Isere,10.181604963135706
0.0,251.7,251.7,18.7,110.4,116.9,141.3,0.75,51.0,36.5,0.0,Ville 7603,1973,7,5.65,45.25,Isere,10.181604963135706
0.0,62.8,62.8,19.9,97.0,101.7,-34.2,0.71,21.5,4.0,0.0,Ville 7603,1973,8,5.65,45.25,Isere,10.181604963135706
0.0,97.6,97.6,15.6,69.9,71.1,27.7,0.61,8.4,8.9,0.0,Ville 7603,1973,9,5.65,45.25,Isere,10.181604963135706
0.0,74.3,74.3,9.1,39.2,33.5,35.1,0.76,17.0,8.3,0.0,Ville 7603,1973,10,5.65,45.25,Isere,10.181604963135706
28.5,36.6,65.1,4.0,17.0,15.9,48.1,0.77,14.0,3.7,0.0,Ville 7603,1973,11,5.65,45.25,Isere,10.181604963135706
0.7,50.9,51.6,1.2,1.8,10.9,49.8,0.85,22.1,30.1,59.6,Ville 7603,1973,12,5.65,45.25,Isere,10.181604963135706
0.0,73.6,73.6,3.9,8.2,11.2,65.4,0.89,36.7,18.7,0.0,Ville 7603,1974,1,5.65,45.25,Isere,10.181604963135706
47.6,102.1,149.7,3.9,10.2,15.5,139.5,0.99,88.0,20.2,33.7,Ville 7603,1974,2,5.65,45.25,Isere,10.181604963135706
11.5,56.0,67.5,6.7,14.6,24.6,52.9,0.94,65.6,26.4,70.5,Ville 7603,1974,3,5.65,45.25,Isere,10.181604963135706
0.2,41.4,41.6,8.4,44.8,53.3,-3.2,0.74,18.4,3.5,0.2,Ville 7603,1974,4,5.65,45.25,Isere,10.181604963135706
0.0,99.4,99.4,12.5,74.2,75.6,25.2,0.74,13.6,9.2,0.0,Ville 7603,1974,5,5.65,45.25,Isere,10.181604963135706
0.0,106.9,106.9,15.5,98.7,100.8,8.2,0.67,9.8,8.7,0.0,Ville 7603,1974,6,5.65,45.25,Isere,10.181604963135706
